Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
ACR,ACR411,Steuben County Bath Landfill GHG Offset Project,Landfill Gas Capture & Combustion,United States,"[3, 7, 8, 9, 11, 12, 13]",06/01/2018,272366,272366,"www.steubencony.org"","
ACR,ACR127,Steuben County DPW LFG,Landfill Gas Capture & Combustion,United States,[],06/01/2005,129180,109280,""","
ACR,ACR187,Storrie Fire Reforestation,Forest Carbon,United States,"[6, 13, 15]",05/01/2001,0,0,"www.wmbeaty.com"","
ACR,ACR245,Storrie Fire Reforestation Compliance Project,Forest Carbon,United States,"[6, 13, 15]",01/01/2015,0,0,"www.wmbeaty.com"","
ACR,ACR128,Streator LFG to Energy,Landfill Gas Capture & Combustion,United States,[],12/01/1999,47150,41797,""","
ACR,ACR776,Summit HFC Reclaim 2020,Industrial Process Emissions,United States,"[3, 9, 12, 13]",07/01/2020,90374,41689,""","
ACR,ACR829,Summit HFC Reclaim 2021,Industrial Process Emissions,United States,"[3, 9, 12, 13]",01/19/2021,134047,0,""","
ACR,ACR1049,Summit HFC Reclaim 2022,Industrial Process Emissions,United States,"[3, 9, 12, 13]",01/01/2022,0,0,""","
ACR,ACR235,"Synergy Biogas, LLC",Livestock Waste Management,United States,"[2, 9, 13]",12/01/2014,48409,0,""","
ACR,ACR874,TCT Meridian Northwest IFM,Forest Carbon,United States,"[3, 6, 9, 13, 15]",04/01/2023,0,0,""","
ACR,ACR129,Tecnosol Solar Electrification,Renewable Energy,Undefined Location,[],01/01/1998,3913,0,""","
ACR,ACR306,The Audubon Borestone Mountain Carbon Project,Forest Carbon,United States,"[6, 13, 15]",10/27/2015,0,0,""","
ACR,ACR308,The Bridgestone Chestnut Mountain Carbon Project,Forest Carbon,United States,"[6, 13, 15]",10/27/2015,0,0,""","
ACR,ACR309,The Caulk Island Forest Carbon Project,Forest Carbon,United States,"[6, 13, 15]",10/29/2015,0,0,""","
ACR,ACR232,The Dry Creek Dairy Biofactory Project,Livestock Waste Management,United States,"[2, 9, 13]",01/01/2015,298204,0,""","
ACR,ACR427,The Nature Conservancy - Upper St. John Forest IFM Project,Forest Carbon,United States,"[6, 13, 15]",06/15/2018,1948400,0,""","
ACR,ACR647,The Nature Conservancy  Michigamme Highlands Carbon Project,Forest Carbon,United States,"[3, 6, 9, 13, 15]",05/26/2021,257359,6000,""","
ACR,ACR574,The Nature Conservancy Washington Rainforest Renewal Project,Forest Carbon,United States,"[3, 6, 9, 11, 13, 15]",06/05/2020,161222,115697,""","
ACR,ACR983,The Shamrock Ranch Sustainable Forestry Project,Forest Carbon,United States,"[3, 6, 9, 13, 15]",01/02/2023,0,0,""","
ACR,ACR1037,Thompson Family Forest Restoration Project,Forest Carbon,United States,"[3, 6, 9, 13, 15]",01/04/2023,0,0,""","
ACR,ACR441,TNC-Chestnut Mountain Improved Forest Management Project,Forest Carbon,United States,"[3, 6, 9, 13, 15]",06/05/2018,381185,217892,"https://www.nature.org/en-us/about-us/where-we-work/united-states/tennessee/stories-in-tennessee/chestnut-mountain-a-gift-for-all-of-tennessee/"","
ACR,ACR893,Tradewater - Chile 1,Ozone Depleting Substances,Undefined Location,"[3, 6, 9, 12, 13, 14, 15]",07/09/2024,40402,200,""","
ACR,ACR839,Tradewater - Thailand 2,Ozone Depleting Substances,Undefined Location,"[3, 6, 9, 12, 13, 14, 15]",02/07/2023,193364,26364,""","
ACR,ACR844,Tradewater - Thailand 3,Ozone Depleting Substances,Undefined Location,"[3, 6, 9, 12, 13, 14, 15]",04/27/2023,192051,158049,"https://wms-thailand.com/"","
ACR,ACR903,Tradewater - Thailand 4,Ozone Depleting Substances,Undefined Location,"[3, 6, 9, 12, 13, 14, 15]",06/13/2023,189561,16345,""","
ACR,ACR924,Tradewater - Thailand 5,Ozone Depleting Substances,Undefined Location,"[3, 6, 9, 12, 13, 14, 15]",08/08/2023,191104,8836,""","
ACR,ACR937,Tradewater - Thailand 6,Ozone Depleting Substances,Undefined Location,"[3, 6, 9, 12, 13, 14, 15]",10/04/2023,157691,111193,""","
ACR,ACR597,Tradewater Halon,Ozone Depleting Substances,United States,"[3, 9, 12, 13, 14, 15]",02/04/2021,5704,5704,""","
ACR,ACR564,Tradewater HFC Reclamation,Industrial Process Emissions,United States,"[3, 9, 12, 13]",12/26/2019,10352,10352,"Tradewater.us"","
ACR,ACR793,Tradewater International - Saudi Arabia 1.0,Ozone Depleting Substances,Undefined Location,"[3, 6, 9, 12, 13, 14, 15]",08/23/2022,0,0,""","
ACR,ACR814,Tradewater International - Thailand 1.0,Ozone Depleting Substances,Undefined Location,"[3, 6, 9, 12, 13, 14, 15]",12/17/2022,192244,15714,""","
