Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
MRK,MRK104000000014099,Supporting Landless Farmers in the Tembien Highlands,Forest Restoration,Ethiopia,[],,197516,117024,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000014099
MRK,MRK104000000028436,gula gula food forest program,Afforestation / Reforestation,Indonesia,[],,77713,34491,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028436
MRK,MRK103000000006745,GrwpCoed.Cymru 1 (Brynhoveth),No thinning or clearfell,Wales,[],,34577,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000006745
MRK,MRK104000000013993,Durian Rambun,REDD,Indonesia,[],,20137,5310,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000013993
MRK,MRK100000000001114,Hiniduma Biolink Project,Afforestation / Reforestation,Sri Lanka,[],,2504,2405,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000001114
MRK,MRK103000000009278,Crick Jubilee Wood,Thin only,England,[],,1307,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000009278
MRK,MRK104000000027539,Bernera Woodland Creation,Continuous cover system,Scotland,[],,32291,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027539
MRK,MRK104000000026679,Dunlossit Planting Phase 1,No thinning or clearfell,Scotland,[],,53626,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026679
MRK,MRK104000000027290,Culhay,Mixed mainly clearfell,Scotland,[],,61661,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027290
MRK,MRK104000000028072,Dunlossit D1&D2,Peatland Restoration,Scotland,[],,58434,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028072
MRK,MRK104000000027017,Sutherland Estates Silver Rock,Mixed mainly no thin or clearfell,Scotland,[],,59173,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027017
MRK,MRK104000000016117,Glenorchy Farm Native Woodland,No thinning or clearfell,Scotland,[],,15290,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000016117
MRK,MRK104000000014148,Drawa Rainforest Carbon Project,Improved forest management,Fiji,[],,165350,58310,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000014148
MRK,MRK104000000028704,Coronation Copse,Thin only,England,[],,1788,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028704
MRK,MRK104000000027387,Halle's Wood Dunthrop Farm,Thin only,England,[],,659,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027387
MRK,MRK104000000011995,Hilley Farm Woodlands,Mixed mainly thinning,England,[],,2436,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000011995
MRK,MRK100000000000171,Trees for Global Benefits,Afforestation / Reforestation,Uganda,[],,4303159,1481752,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000171
MRK,MRK103000000008782,Benson Wood,Mixed mainly thin and clearfell,England,[],,329,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000008782
MRK,MRK104000000028264,Mountmill Burn,Mixed mainly thin and clearfell,Scotland,[],,11305,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028264
MRK,MRK104000000027706,Culnakirk WCC,Mixed mainly clearfell,Scotland,[],,26297,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027706
MRK,MRK104000000026256,Rarakau Rainforest Carbon Project,Improved forest management,New Zealand,[],,18890,13541,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026256
MRK,MRK104000000029309,ERA Brazil’s W+ Pollen Program,W+ Education & Knowledge,Brazil,[],,37755,2500,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029309
MRK,MRK100000000000136,Community Ecosystem Restoration Program (CERP),Forest,Canada,[],,103206,922467,https://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000136
MRK,MRK104000000027023,Dalnessie New Woodlands,No thinning or clearfell,Scotland,[],,52255,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027023
MRK,MRK104000000027210,Clerkhill Farm New Planting,Mixed mainly clearfell,Scotland,[],,64935,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027210
MRK,MRK104000000026936,HALO VERDE TIMOR COMMUNITY FOREST CARBON,Afforestation / Reforestation,Timor-Leste,[],,42164,36681,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026936
MRK,MRK,Halterburnhead,No thinning or clearfell,,[],,576205,0,
