Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR1242,Perfect Cycle ODS-2,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",1/30/2017,42233,0,
CAR,CAR1233,Port of Tillamook Bay Regional Anaerobic Digester,Livestock - ARB Compliance,United States,"[9, 11, 13, 12]",11/4/2016,22294,0,
CAR,CAR1125,Riverview Farm Anaerobic Digester Project,Livestock - ARB Compliance,United States,"[9, 11, 13, 12]",4/6/2017,27245,0,
CAR,CAR1171,A-GAS Americas 2015-1,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",10/5/2015,134418,0,
CAR,CAR1179,A-GAS RemTec 2015-2,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",1/30/2016,135577,0,http://www.agasamericas.com
CAR,CAR1065,ABEC New Hope LLC,Livestock - ARB Compliance,United States,"[9, 11, 13, 12]",8/2/2016,4978,0,http://www.calbioenergy.com
CAR,CAR411,"Beulah Municipal Landfill (Dorchester County, MD)",Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",4/6/2016,11284,1341,
CAR,CAR423,Butler County Landfill Pipeline Project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",9/3/2015,5312,14028,http://timberlineenergy.com
CAR,CAR1182,ClimeCo ODS Destruction 16 and 17,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",3/22/2016,245955,0,http://www.climeco.com
CAR,CAR467,Coffee County Sanitary Landfill Gas Collection System,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",3/29/2016,60238,891,
CAR,CAR1219,Coolgas 2015-3,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",5/10/2016,108622,0,http://www.coolgas.com
CAR,CAR1087,DPC Domestic ODS Destruction Project #21,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",7/15/2015,128161,0,http://www.divpc.com
CAR,CAR1172,DPC Domestic ODS Destruction Project #22,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",10/15/2015,130995,0,http://www.divpc.com
CAR,CAR1121,Fair Oaks Dairy Farm LLC Cyclus-Designed Digester,Livestock - ARB Compliance,United States,"[9, 11, 13, 12]",6/29/2016,7421,0,
CAR,CAR761,L and D Landfill Methane Destruction Project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",2/23/2016,32999,32999,
CAR,CAR445,LCSWMA Landfill Gas-to-Energy Project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",2/19/2016,46635,13606,http://www.lcswma.org
CAR,CAR1077,Linde,Livestock - ARB Compliance,United States,"[9, 11, 13, 12]",2/13/2017,1523,0,
CAR,CAR452,Steuben County Landfill Gas Flaring project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",7/21/2015,7429,7429,http://www.steubencony.org
CAR,CAR434,The Denton Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",9/11/2015,10997,10997,http://www.dtebe.com
CAR,CAR1064,Van-Erk Dairy Digester Project,Livestock - ARB Compliance,United States,"[9, 11, 13, 12]",12/1/2016,4863,0,
CAR,CAR1051,A-GAS RemTec 2013-4,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",12/10/2014,191960,0,http://www.remtec.net
CAR,CAR1069,A-GAS RemTec 2013-5,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",5/5/2015,129101,0,http://www.remtec.net
CAR,CAR1072,A-GAS RemTec 2014-1,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",10/2/2014,129838,0,http://www.remtec.net
CAR,CAR1089,A-GAS RemTec 2014-2,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",5/20/2015,107744,0,http://www.remtec.net
CAR,CAR1093,A-GAS RemTec 2014-3,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",11/5/2015,148331,0,http://www.remtec.net
CAR,CAR1001,Alliance Dairies,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",4/9/2015,7810,0,
CAR,CAR408,Big River / Salmon Creek Forests,Conservation-Based Forest Management,United States,"[6, 13, 15, 9]",6/11/2015,219805,150000,
CAR,CAR769,Big Run Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",2/9/2015,31645,31645,
CAR,CAR878,Bluff Road Landfill,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",7/1/2015,29954,55881,
CAR,CAR474,Bridgewater Dairy LLC,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",9/22/2014,353,607,
CAR,CAR933,CalBio ORRD,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",2/28/2015,24756,24756,
CAR,CAR479,Central Sands Dairy LLC,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",11/25/2014,389,606,
CAR,CAR457,Charleston Landfill Gas Utilization Project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",1/21/2016,21459,21459,
CAR,CAR994,Dairy Dreams,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",11/9/2015,10591,338,
CAR,CAR468,Davidson County Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",3/11/2015,42836,2528,http://www.dtebe.com
CAR,CAR775,District 45 Dairy,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",4/15/2015,14586,0,
CAR,CAR956,Double A Dairy,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",6/30/2015,49499,0,
CAR,CAR1047,DPC Domestic ODS Destruction Project #17,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",12/15/2014,30587,0,http://www.divpc.com
CAR,CAR1059,DPC Domestic ODS Destruction Project #19,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",1/6/2015,99696,0,http://www.divpc.com
CAR,CAR1071,DPC Domestic ODS Destruction Project #20,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",2/10/2015,17848,0,http://www.divpc.com
CAR,CAR1068,ECC ODS Destruction 2-2014,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",2/23/2015,126314,0,http://www.envcc.com
CAR,CAR980,"Edaleen Cow Power, LLC",Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",1/23/2015,7754,0,
CAR,CAR891,Elk Creek Coal Mine Methane Destruction & Utilization Project,Coal Mine Methane - Drainage,United States,"[9, 13, 3, 8]",9/30/2014,35454,0,
CAR,CAR990,EOS 2013 Domestic,Ozone Depleting Substances - U.S.,United States,"[9, 12, 13, 3]",3/20/2014,41081,20,http://www.eosclimate.com
CAR,CAR1021,EOS ARB ODS 2013-8,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",4/11/2014,67490,0,http://www.eosclimate.com
CAR,CAR1026,EOS ARB ODS 2014-2,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",11/20/2014,33214,0,http://www.eosclimate.com
CAR,CAR477,Fair Oaks Dairy Farm LLC Cyclus-Designed Digester,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",3/10/2015,1769,1031,
CAR,CAR478,Fair Oaks Dairy Farm LLC GHD-Designed Digester,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",2/5/2015,54929,0,
CAR,CAR102,Garcia River Forest,Conservation-Based Forest Management,United States,"[6, 13, 15, 9]",4/10/2015,211630,3211,
CAR,CAR978,Gardeau Crest Dairy,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",6/18/2015,12684,0,
CAR,CAR441,George DeRuyter & Sons Dairy,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",6/18/2015,23219,23219,
CAR,CAR629,Green River Trona Mine Methane Destruction and Utilization Project,Coal Mine Methane - Drainage,United States,"[9, 13, 3, 8]",9/10/2014,42896,0,
CAR,CAR504,Green Valley Dairy,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",4/6/2015,2955,300,
CAR,CAR612,Grotegut Dairy Farm Inc,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",9/30/2015,10201,3059,
CAR,CAR660,Gualala River Forest,Improved Forest Management,United States,"[6, 13, 15, 9]",8/6/2015,15156,30000,
CAR,CAR599,Holsum Elm,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",3/27/2015,1526,369,
CAR,CAR601,Holsum Irish Dairy,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",3/31/2015,2518,775,
CAR,CAR590,Lompico Forest Carbon Project,Improved Forest Management,United States,"[6, 13, 15, 9]",12/31/2015,1121,885,http://www.sempervirens.org
CAR,CAR762,Maple Leaf Dairy East,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",12/18/2015,2762,0,
CAR,CAR1007,Maple Leaf Dairy West,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",12/17/2015,14232,0,
CAR,CAR449,Riverview Farm Anaerobic Digester Project,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",4/21/2015,27826,439,http://NA
CAR,CAR920,Rockingham County NC Landfill Gas Project,Landfill Gas Capture/Combustion,United States,"[9, 11, 13, 12]",5/5/2014,3722,3722,http://www.co.rockingham.nc.us
CAR,CAR1085,"Roeslein Alternative Energy of Missouri, LLC - Ruckman",Livestock - ARB Compliance,United States,"[9, 11, 13, 12]",4/10/2015,3968,0,http://www.roesleinae.com
CAR,CAR418,Scenic View Dairy I,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",3/18/2016,900,900,
CAR,CAR1014,"Storms Hog Power, LLC",Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",2/24/2015,13641,0,
CAR,CAR606,Sunnyside Farms Inc,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",7/8/2015,10272,0,
CAR,CAR1067,Sustainable Mountain IFM,Improved Forest Management - ARB Compliance,United States,"[6, 13, 15, 9]",11/25/2015,4343,0,
CAR,CAR957,"Synergy Biogas, LLC",Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",6/9/2015,7874,0,
CAR,CAR402,The Dry Creek Dairy BioFactory® Project,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",6/18/2015,29527,17809,
CAR,CAR101,The van Eck Forest,Conservation-Based Forest Management,United States,"[6, 13, 15, 9]",9/16/2015,26502,170,
CAR,CAR1009,Threemile Canyon Farm Digester Project,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",12/31/2015,67201,13100,
CAR,CAR1046,Trinity Timberlands University Hill Improved Forest Management Project,Improved Forest Management - ARB Compliance,United States,"[6, 13, 15, 9]",4/30/2015,847895,0,http://www.forestcarbonpartners.com
CAR,CAR730,Usal Redwood Forest,Improved Forest Management,United States,"[6, 13, 15, 9]",10/28/2015,339125,0,http://www.rffi.org
CAR,CAR944,Vanderhyde Dairy,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",12/1/2014,7141,0,
CAR,CAR686,Virginia Conservation Forestry Program - Clifton Farm,Improved Forest Management,United States,"[6, 13, 15, 9]",7/2/2015,7298,5831,http://www.nature.org/wherewework/northamerica/states/virginia/
CAR,CAR696,Virginia Conservation Forestry Program - Rich Mountain,Improved Forest Management,United States,"[6, 13, 15, 9]",5/28/2015,10414,8320,http://www.nature.org/wherewework/northamerica/states/virginia/
CAR,CAR697,Virginia Conservation Forestry Program - Tazewell - Elk Garden,Improved Forest Management,United States,"[6, 13, 15, 9]",7/2/2015,17044,14151,http://www.nature.org/wherewework/northamerica/states/virginia/
CAR,CAR450,West River Farm Anaerobic Digester Project,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",4/23/2015,19804,15000,http://NA
CAR,CAR977,Willet Dairy,Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",7/2/2015,17015,0,
CAR,CAR661,Willits Woods,Improved Forest Management,United States,"[6, 13, 15, 9]",4/1/2015,173951,0,
CAR,CAR463,"Willow Point Dairy, LLC",Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",7/21/2014,1961,610,
CAR,CAR1010,"WTE-Dallmann, LLC",Livestock Gas Capture/Combustion,United States,"[9, 11, 13, 12]",8/20/2015,1310,0,
CAR,CAR777,Yurok Tribe Sustainable Forest Project,Improved Forest Management,United States,"[6, 13, 15, 9]",9/23/2015,29415,0,http://www.yuroktribe.org
CAR,CAR1011,A-GAS RemTec 2013-1,Ozone Depleting Substances - U.S. - ARB Compliance,United States,"[9, 12, 13, 3]",5/22/2014,93055,0,http://www.remtec.net
